ref.no,citation,Review?,Jamie's thesis?,Not found,abbr_ref
256,"Svoboda, J., Mruga_a, A., Kozubêkov__Balcarov_, E., et al. (2017). Hosts and transmission of the crayfish plague pathogen Aphanomyces astaci: a review. Journal of Fish Diseases. 40(1), 127- 140.",,Y,,Svoboda et al. 2017
257,"McMahon, T. A., Brannelly, L. A., Chatfield, M. W., et al. (2013). Chytrid fungus Batrachochytrium dendrobatidis has nonamphibian hosts and releases chemicals that cause pathology in the absence of infection. Proceedings of the National Academy of Sciences. 110(1), 210-215.",,Y,,McMahon et al. 2013
258,"Graham, L., France, R. (1986). Attempts to transmit experimentally the microsporidian Thelohania contejeani in freshwater crayfish (Orconectes virilis). Crustaceana. 51(2), 208-211.",,Y,,"Graham and France, 1986"
259,"Davidson, E. W., Snyder, J., Lightner, D., et al. (2010). Exploration of potential microbial control agents for the invasive crayfish, Orconectes virilis. Biocontrol Science and Technology. 20(3), 297-310.",,Y,,Davidson et al. 2010
260,"Liu, H., Jiravanichpaisal, P., S_derh_ll, I., et al. (2006). Antilipopolysaccharide factor interferes with white spot syndrome virus replication in vitro and in vivo in the crayfish Pacifastacus leniusculus. Journal of Virology. 80(21), 10365-10371.",,Y,,Liu et al. 2006
261,"Jiravanichpaisal, P., Roos, S., Edsman, L., et al. (2009). A highly virulent pathogen, Aeromonas hydrophila, from the freshwater crayfish Pacifastacus leniusculus. Journal of Invertebrate Pathology. 101(1), 56-66.",,Y,,Jiravanichpaisal et al. 2009
262,"Persson, M., Cerenius, L., S_derh_ll, K. (1987). The influence of haemocyte number on the resistance of the freshwater crayfish, Pacifastacus leniusculus Dana, to the parasitic fungus Aphanomyces astaci. Journal of Fish Diseases. 10(6), 471-477.",,Y,,Persson et al. 1987
263,"Dunn, J. C., McClymont, H. E., Christmas, M., et al. (2009). Competition and parasitism in the native White Clawed Crayfish Austropotamobius pallipes and the invasive Signal Crayfish Pacifastacus leniusculus in the UK. Biological Invasions. 11(2), 315-324.",,Y,,Dunn et al. 2009
264,"Chinain, M., Vey, A. (1988). Experimental study of Fusarium solani: infections in Astacus leptodactylus and Pacifastacus leniusculus (Crustacea, Decapoda). Diseases of Aquatic Organisms. 5(3), 215-223.",,Y,,"Chinain and Vey, 1988"
265,"Tagatz ME. 1968. Biology of the blue crab Callinectes sapidus Rathbun, in the St. Johns River, Florida. United State Fish and Wildlife Service, Fishery Bulletin 67:17_33.",,,,Tagatz 1968
266,"Lumsden, R. D., Margolis, L., Arthur, J. R. (1999). Distribution and prevalence of Alloglossoides caridicola (Trematoda: Macroderoididae), a parasite of the crayfish Procambarus acutus within the state of Louisiana, USA, and into adjoining states. Journal of the Helminthological Society of Washington. 66, 1.",,Y,,Lumsden et al. 1999
267,"Turner, H. M. (2007). New hosts, distribution, and prevalence records for Alloglossidium dolandi (Digenea: Macroderoididae), a parasite of procambarid crayfish, within the coastal plains of Georgia, Alabama, and Mississippi, USA. Comparative Parasitology. 74(1), 148-150.",,Y,,"Turner, 2007"
268,"Tilmans, M., Mruga_a, A., Svoboda, J., et al. (2014). Survey of the crayfish plague pathogen presence in the Netherlands reveals a new Aphanomyces astaci carrier. Journal of Invertebrate Pathology. 120, 74-79.",,Y,,Tilmans et al. 2014
269,"Wang, W., Gu, W., Ding, Z., et al. (2005). A novel Spiroplasma pathogen causing systemic infection in the crayfish Procambarus clarkii (Crustacea: Decapod), in China. FEMS Microbiology Letters. 249(1), 131-137.",,Y,,Wang et al. 2005
270,"Jha, R. K., Xu, Z. R., Shen, J., et al. (2006). The efficacy of recombinant vaccines against white spot syndrome virus in Procambarus clarkii. Immunology Letters. 105(1), 68-76.",,Y,,Jha et al. 2006
271,"Borja A. 1988. The swimming crab population, Liocarcinus puber L., on the Basque coast (N. Spain). Investigaciones Pesqueras (Barcelona) 52:277_281.",,,,Borja 1988
272,"Henttonen, P., Huner, J. V., Rata, P., Lindqvist, O. V. (1997). A comparison of the known life forms of Psorospermium spp. in freshwater crayfish (Arthropoda, decapoda) with emphasis on Astacus astacus L.(Astacidae) and Procambarus clarkii (Girard)(Cambaridae). Aquaculture. 149(1), 15-30.",,Y,,Henttonen et al. 1997
273,"Longshaw, M., Bateman, K. S., Stebbing, P., Stentiford, G. D., & Hockley, F. A. (2012b). Disease risks associated with the importation and release of non-native crayfish species into mainland Britain._Aquatic Biology,_16(1), 1-15.",,,,Longshaw et al. 2012b
274,"Dong, C., Wei, Z., Yang, G. (2011). Involvement of peroxinectin in the defence of red swamp crayfish Procambarus clarkii against pathogenic Aeromonas hydrophila. Fish and Shellfish Immunology. 30(6), 1223-1229.",,Y,,Dong et al. 2011
275,"Keller, N. S., Pfeiffer, M., Roessink, I., et al. (2014). First evidence of crayfish plague agent in populations of the marbled crayfish (Procambarus fallax forma virginalis). Knowledge and Management of Aquatic Ecosystems. 414, 15.",,Y,,Keller et al. 2014
276,"Bower, S.M., McGladdery, S.E. (2002): Synopsis of Infectious Diseases and Parasites of Commercially Exploited Shellfish: Branchiobdellida Annelid Parasitism of Crayfish.",,,,
277,"Longshaw, M. (2011). Diseases of crayfish: a review._Journal of invertebrate pathology,_106(1), 54-70.",,Y,,Longshaw 2011
278,"Souto FX, Branco JO. 1998. Estrutura populacional de Portunus spinimanus (Latreille, 1819) na Enseada da ArmacŸaÖo do ItapocoroÇi, Penha, SC. In: Resumos do XXII Congresso Brasileiro de Zoologia; 1998 Feb 8_13; Recife. Pernambuco: Universidade Federal de Pernambuco. 82 p.",,,,Souto and Branco 1998
279,"Doi, W., Yokota, M., StrŸssmann, C. A., & Watanabe, S. (2008). Growth and reproduction of the portunid crab Charybdis bimaculata (Decapoda: Brachyura) in Tokyo Bay.ÊJournal of Crustacean Biology,Ê28(4), 641-651.",,,,Doi et al 2008
280,"Vogt, G. (2012). Ageing and longevity in the Decapoda (Crustacea): A review. Zoologischer Anzeiger, 251(1), 1_25. https://doi.org/10.1016/j.jcz.2011.05.003",,,,Vogt 2012
281,"L—pez-Mart’nez, J., R‡bago-Quiroz, C., Nev‡rez-Mart’nez, M. O., Garc’a-Ju‡rez, A. R., Rivera-Parra, G., & Ch‡vez-Villalba, J. (2005). Growth, reproduction, and size at first maturity of blue shrimp, Litopenaeus stylirostris (Stimpson, 1874) along the east coast of the Gulf of California, Mexico.ÊFisheries Research,Ê71(1), 93-102.",,,,Lopez-Martinez et al 2005
282,"Yamada, S. B., & Kosro, P. M. (2010). Linking ocean conditions to year class strength of the invasive European green crab, Carcinus maenas.ÊBiological Invasions,Ê12(6), 1791-1804.",,,,Yamada and Kosro 2010
283,"Rugolo, L. J., Knotts, K. S., Lange, A. M., & Crecco, V. A. (1998). Stock assessment of Chesapeake Bay blue crab (Callinectes sapidus Rathbun).ÊJournal of Shellfish Research,Ê17(3), 906-930.",,,,Rugolo et al 1998
284,"Nilssen, E. M., & Aschan, M. M. (2009). Catch, survey and life-history data for shrimp (Pandalus borealis) off Jan Mayen.ÊDeep Sea Research Part II: Topical Studies in Oceanography,Ê56(21), 2023-2036.",,,,Nilssen et al 2009
285,"Bell, M.C., Redant,F.,Tuck, I., 2006. Nephrops species. In: Phillips, B. (Ed.), Lobsters: Biology, Management, Aquaculture and Fish- eries. Blackwell, Oxford, pp. 412_461.",,,,Bell et al. 2006
286,"Ehrhardt, N.M., 2008. Estimating growth of the Florida spiny lob- ster, Panulirus argus, from molt frequency and size increment data derived from tag and recapture experiments. Fish. Res. 93, 332_337.",,,,Ehrhardt 2008
287,"Maxwell, K. E., Matthews, T. R., Sheehy, M. R., Bertelsen, R. D., & Derby, C. D. (2007). Neurolipofuscin is a measure of age in Panulirus argus, the Caribbean spiny lobster, in Florida.ÊThe Biological Bulletin,Ê213(1), 55-66.",,,,Maxwell et al 2007
288,"Dhaouadi-Hassen, S., & Bouma•za, M. (2009). Reproduction and population dynamics of Atyaephyra desmarestii (Decapoda, Caridea) from the Sidi Salem dam lake (Northern Tunisia).ÊCrustaceana,Ê82(2), 129-139.",,,,Dhaouadi-H. and Bouma•za 2009
289,"Sheehy, M. R. J. (1992). Lipofuscin age-pigment accumulation in the brains of ageing field-and laboratory-reared crayfish Cherax quadricarinatus (von Martens)(Decapoda: Parastacidae).ÊJournal of Experimental Marine Biology and Ecology,Ê161(1), 79-89.",,,,Sheehy 1992
290,"Vogt, G. (2010). Suitability of the clonal marbled crayfish for biogerontological research: a review and perspective, with remarks on some further crustaceans.ÊBiogerontology,Ê11(6), 643-669.",,,,Vogt 2010
291,"Herborg, L. M., Rushton, S. P., Clare, A. S., & Bentley, M. G. (2003). Spread of the Chinese mitten crab (Eriocheir sinensis H. Milne Edwards) in Continental Europe: analysis of a historical data set. InÊMigrations and Dispersal of Marine OrganismsÊ(pp. 21-28). Springer, Dordrecht.",,,,Herborg et al. 2003
292,"Deval, M. C., B_k, T., Ate_, C., & Tosuno_lu, Z. (2007). Length-based estimates of growth parameters, mortality rates, and recruitment of Astacus leptodactylus (Eschscholtz, 1823)(Decapoda, Astacidae) in unexploited inland waters of the northern Marmara region, European Turkey.ÊCrustaceana,Ê80(6), 655-665.",,,,Deval et al. 2007
293,"Kawai, T., Hamano, T., & Matsuura, S. (1997). Survival and growth of the Japanese crayfish Cambaroides japonicus in a small stream in Hokkaido.ÊBulletin of marine science,Ê61(1), 147-157.",,,,Kawai et al. 1997
294,"Belchier, M., Edsman, L., Sheehy, M. R., & Shelton, P. M. (1998). Estimating age and growth in long_lived temperate freshwater crayfish using lipofuscin.ÊFreshwater Biology,Ê39(3), 439-446.",,,,Belchier et al. 1998
295,"Whitmore, N., & Huryn, A. D. (1999). Life history and production of Paranephrops zealandicus in a forest stream, with comments about the sustainable harvest of a freshwater crayfish.ÊFreshwater Biology,Ê42(3), 467-478.",,,,Whitmore and Huryn 1999
296,"Lukhaup, C., Pekny, R., 2008. SŸ§wasserkrebse aus aller Welt, 2. Auflage. D_hne Verlag, Ettlingen.",,,,Lukhaup and Pekny 2008
297,"Holdich, D. M. (2003). Crayfish in Europe–an overview of taxonomy, legislation, distribution, and crayfish plague outbreaks. Management & Conservation of Crayfish, 15-34.",,,,Holdich 2003
298,"Vogt, G. (1999). Diseases of European freshwater crayfish, with particular emphasis on interspecific transmission of pathogens. Crustacean Issues, 11, 87-106.",,,,Vogt 1999
299,"Furota, T., Watanabe, S., Watanabe, T., Akiyama, S., & Kinoshita, K. (1999). Life history of the Mediterranean green crab, Carcinus aestuarii Nardo, in Tokyo Bay, Japan. Crustacean Research, 28, 5-15.",,,,Furota et al 1999
300,"Ghia, D., Fea, G., Conti, A., Sacchi, R., & Nardi, P. A. (2015). Estimating age composition in Alpine native populations of Austropotamobius pallipes complex. Journal of Limnology, 74(3).",,,,Ghia et al 2015
301,"McLay, C. L. (2015). Moulting and growth in Brachyura. The Crustacea, treatise on zoology—anatomy taxonomy, biology, 9, 245-316.",,,,McLay 2015
302,"Hartnoll, R. G., & Bryant, A. D. (2001). Growth to maturity of juveniles of the spider crabs Hyas coarctatus Leach and Inachus dorsettensis (Pennant)(Brachyura: Majidae). Journal of experimental marine biology and ecology, 263(2), 143-158.",,,,Hartnoll and Bryant 2001
303,"Rossetti, I., Sartor, P., Francesconi, B., Mori, M., & Belcari, P. (2006). Biological aspects of Medorippe lanata (Linnaeus, 1767)(Brachyura: Dorippidae) from the eastern Ligurian Sea (western Mediterranean). In Issues of Decapod Crustacean Biology (pp. 21-29). Springer Netherlands.",,,,Rossetti et al 2006
304,"de Lestang, S., Hall, N., & Potter, I. C. (2003). Changes in density, age composition, and growth rate of Portunus pelagicus in a large embayment in which fishing pressures and environmental conditions have been altered. Journal of Crustacean Biology, 23(4), 908-919.",,,,De Lestang et al 2003
305,"Luppi, T. A., Spivak, E. D., Bas, C. C., & Anger, K. (2004). Molt and growth of an estuarine crab, Chasmagnathus granulatus (Brachyura: Varunidae), in Mar Chiquita coastal lagoon, Argentina. Journal of Applied Ichthyology, 20(5), 333-344.",,,,
306,"Clark, R. L. (1987). Aspects of growth and reproduction of the hairy handed crab, Hemigrapsus crenulatus (Brachyura: Grapsidae).",,,,
307,"Fonseca, D. B., Sainte-Marie, B., & Hazel, F. (2008). Longevity and change in shell condition of adult male snow crab Chionoecetes opilio inferred from dactyl wear and mark-recapture data. Transactions of the American Fisheries Society, 137(4), 1029-1043.",,,,
308,"Donaldson, W. E., Cooney, R. T., & Hilsinger, J. R. (1981). Growth, age and size at maturity of Tanner crab, Chionoecetes bairdi MJ Rathbun, in the northern Gulf of Alaska (Decapoda, Brachyura). Crustaceana, 40(3), 286-302.",,,,
309,"de Macedo Costa, T. M., Pitombo, F. B., & Soares-Gomes, A. (2014). The population biology of the exploited crab Ucides cordatus (Linnaeus, 1763) in a southeastern Atlantic Coast mangrove area, Brazil. Invertebrate reproduction & development, 58(4), 259-268.",,,,
310,"McLay, C. L., & van den Brink, A. M. (2016). Crayfish growth and reproduction. Biology and Ecology of Crayfish (Longshaw, M. & Stebbing, P., eds.). CRC Press, Boca Raton, FL, 62-116.",,,,
311,"Skurdal, J., Garnås, E., & Taugbøl, T. (2002). Management strategies, yield and population development of the noble crayfish Astacus astacus in lake Steinsfjorden. Bulletin Français de la Pêche et de la Pisciculture, (367), 845-860.",,,,
312,"Birkely, S. R., & Gulliksen, B. (2003). Population features of the caridean shrimp, Sclerocrangon boreas (Phipps, 1774) in Isfjorden, Spitsbergen. Crustaceana, 76(1), 87-101.",,,,
313,"Castilho, A. L., Bauer, R. T., Freire, F. A., Fransozo, V., Costa, R. C., Grabowski, R. C., & Fransozo, A. (2015). Lifespan and reproductive dynamics of the commercially important sea bob shrimp Xiphopenaeus kroyeri (Penaeoidea): synthesis of a 5-year study. Journal of Crustacean Biology, 35(1), 30-40.",,,,
314,"Deval, M. C., Bök, T., Ate_, C., & Tosuno_lu, Z. (2007). Length-based estimates of growth parameters, mortality rates, and recruitment of Astacus leptodactylus (Eschscholtz, 1823)(Decapoda, Astacidae) in unexploited inland waters of the northern Marmara region, European Turkey. Crustaceana, 80(6), 655-665.",,,,
315,"Oka, S. I., Miyamoto, K., Matsuzaki, S., & Sato, T. (2015). Growth of the Coconut Crab, Birgus latro, at Its Northernmost Range Estimated from Mark—Recapture Using Individual Identification Based on Carapace Grooving Patterns. Zoological science, 32(3), 260-265.",,,,
316,"Keunecke, K. A., D'incao, F., & Fonseca, D. B. (2007). Growth and mortality of Hepatus pudibundus (Crustacea: Calappidae) in south-western Brazil. Journal of the Marine Biological Association of the United Kingdom, 87(4), 885-891.",,,,
317,"Bosley, K. M., & Dumbauld, B. R. (2011). Use of extractable lipofuscin to estimate age structure of ghost shrimp populations in west coast estuaries of the USA. Marine Ecology Progress Series, 428, 161-176.",,,,
318,"Selin, N. I. (2015). The distribution and some features of the biology of the ghost shrimp Nihonotrypaea japonica (Ortmann, 1891)(Decapoda: Callianassidae) from the Volchanka River estuary (Vostok Bay, Sea of Japan). Russian Journal of Marine Biology, 41(1), 17-23.",,,,
319,"Forbes, A. T. (1977). Breeding and growth of the burrowing prawn Callianassa kraussi Stebbing (Crustacea: Decapoda: Thalassinidea). African Zoology, 12(1), 149-161.",,,,
320,"Drew, M. M., Smith, M. J., & Hansson, B. S. (2013). Factors influencing growth of giant terrestrial robber crab Birgus latro (Anomura: Coenobitidae) on Christmas Island. Aquatic Biology, 19(2), 129-141.",,,,
321,"López-Martínez, J., López-Herrera, L., Valdez-Holguín, J. E., & Rábago-Quiroz, C. H. (2014). Population dynamics of the swimming crabs Callinectes (Portunidae) components of shrimp bycatch in the eastern coast of the Gulf of California. Revista de Biología Marina y Oceanografía, 49(1).",,,,
322,"Hernández, L., & Arreola-Lizárraga, J. A. (2007). Size frequency distribution and growth of the crabs Callinectes arcuatus and C. bellicosus (Decapoda: Portunidae) in Las Guásimas coastal lagoon, Mexico. Revista de biologia tropical, 55(1), 225-233.",,,,
323,"Hamr, P., & Berrill, M. (1985). The life histories of north-temperate populations of the crayfish Cambarus robustus and Cambarus bartoni. Canadian Journal of Zoology, 63(10), 2313-2322.",,,,
324,"Carroll, J. C. (1982). Seasonal abundance, size composition, and growth of rock crab, Cancer antennarius Stimpson, off central California. Journal of Crustacean Biology, 2(4), 549-561.",,,,
325,"Krouse, J. S. (1976). SIZE COMPOSITION AND GROWTH OF YOUNG ROCK CRAB, CANCER-IRRORATUS, ON A ROCKY BEACH IN MAINE. Fishery Bulletin, 74(4), 949-954.",,,,
326,"Shields, J. D., Wenner, A., & Kuris, A. (1991). The reproductive ecology and fecundity of Cancer crabs. Crustacean egg production, 193-213.",,,,
327,"Yamada, S. B., & Groth, S. D. (2016). Growth and longevity of the red rock crab cancer productus (Randall, 1840). Journal of Shellfish Research, 35(4), 1045-1051.",,,,
328,"Kilada, R., & Acuña, E. (2015). Direct age determination by growth band counts of three commercially important crustacean species in Chile. Fisheries Research, 170, 134-143.",,,,
329,"Melville-Smith, R. (1988). The commercial fishery for and population dynamics of red crab Geryon maritae off South West Africa, 1976–1986. South African Journal of Marine Science, 6(1), 79-95.",,,,
330,"Dineshbabu, A. P. (2011). Biology and exploitation of the crucifix crab, Charybdis (Charybdis) feriata (Linnaeus, 1758)(Brachyura: Portunidae) from Karnataka coast, India. Indian Journal of Fisheries, 58(1), 25-29.",,,,
331,"Bolaños, J. A., Baeza, J. A., Hernandez, J. E., Lira, C., & López, R. (2012). Population dynamics and reproductive output of the non-indigenous crab Charybdis hellerii in the south-eastern Caribbean Sea. Journal of the Marine Biological Association of the United Kingdom, 92(3), 469-474.",,,,
332,"Leland, J. C., Bucher, D. J., & Coughran, J. (2015). Direct age determination of a subtropical freshwater crayfish (redclaw, Cherax quadricarinatus) using ossicular growth marks. PloS one, 10(8), e0134966.",,,,
333,"Alves, N., Merrick, J. R., Kohen, J., & Gilligan, D. (2010). Juvenile recruitment of the Murray crayfish, Euastacus armatus (Decapoda: Parastacidae), from south-eastern Australia. Freshwater Crayfish, 17, 167-175.",,,,
334,"Hartnoll, R. G. (2009). Sexual maturity and reproductive strategy of the rock crab Grapsus adscensionis (Osbeck, 1765)(Brachyura, Grapsidae) on Ascension Island. Crustaceana, 82(3), 275-291.",,,,
335,"Rosewarne, P. J., Svendsen, J. C., Mortimer, R. J., & Dunn, A. M. (2014). Muddied waters: suspended sediment impacts on gill structure and aerobic scope in an endangered native and an invasive freshwater crayfish. Hydrobiologia, 722(1), 61-74.",,,,
336,"Bodnar, A. G. (2009). Marine invertebrates as models for aging research. Experimental gerontology, 44(8), 477-484.",,,,
337,"Finch, C. E. (1990). Longevity. Senescence, and the Genome, 12-32.",,,,
338,"Stewart, J. (2003). Long-term recaptures of tagged Scyllarid lobsters (Ibacus peronii) from the east coast of Australia. Fisheries research, 63(2), 261-264.",,,,
339,"Montgomery, S. S., Liggins, G. W., Craig, J. R., & McLeod, J. R. (2009). Growth of the spiny lobster Jasus verreauxi (Decapoda: Palinuridae) off the east coast of Australia. New Zealand Journal of Marine and Freshwater Research, 43(1), 113-123.",,,,
340,"Le Foll, D. (1993). Biologie et exploitation de l'araignée de mer Maja squinado Herbst en Manche Ouest.",,,,
341,"Gerhart, S. D., & Bert, T. M. (2008). Life-history aspects of stone crabs (genus Menippe): size at maturity, growth, and age. Journal of Crustacean Biology, 28(2), 252-261.",,,,
342,"Rainer, S. F. (1988). Growth of the Australian Scampi, Metanephrops australiensis. The fisheries biology of deepwater crustacea and finfish on the continental slope of Western Australia, 74, 61-73.",,,,
343,"Cryer, M., & Oliver, M. (2001). Estimating age and growth in New Zealand scampi, Metanephrops challengeri. Final Research Report for Ministry of Fisheries Project SCI9802 (Objective 2).",,,,
344,"Wallner, B. G., & Phillips, B. F. (1990). Development of a Trawl Fishery for Deepwater Metanephropid Lobsters Off the North West Continental Slope of Australia: Designing a Management Strategy Compatible with Species Life History. CSIRO Division of Fisheries.",,,,
345,"Sacristán, H. J., Rodríguez, Y. E., De los Angeles Pereira, N., Greco, L. S. L., Lovrich, G. A., & Gimenez, A. V. F. (2017). Energy reserves mobilization: Strategies of three decapod species. PloS one, 12(9), e0184060.",,,,
346,"Chucholl, C. (2012). Understanding invasion success: life-history traits and feeding habits of the alien crayfish Orconectes immunis (Decapoda, Astacida, Cambaridae). Knowledge and Management of Aquatic Ecosystems, (404), 04.",,,,
347,"Momot, W. T. (1966). Upstream movement of crayfish in an intermittent Oklahoma stream. American Midland Naturalist, 150-159.",,,,
348,"Cooper, N. J., & Simon, T. P. (2013, July). RELATIONSHIPS BETWEEN MULTI-SCALE ENVIRONMENTAL AND LAND-USE FACTORS AND SUMMER DEMOGRAPHICS OF THE NORTHERN CLEARWATER CRAYFISH, ORCONECTES PROPINQUUS (DECAPODA: CAMBARIDAE). In Proceedings of the Indiana Academy of Science (Vol. 122, No. 2).",,,,
349,"Arcella, T. E., Perry, W. L., Lodge, D. M., & Feder, J. L. (2014). The role of hybridization in a species invasion and extirpation of resident fauna: hybrid vigor and breakdown in the rusty crayfish, Orconectes rusticus. Journal of Crustacean Biology, 34(2), 157-164.",,,,
350,"SAsAKI, K., & KAwASAKI, T. (1980). Some aspects of the reproductive biology of the swimming crab, Ovalipes punctatus (De Haan), in Sendai Bay and its adjacent waters. Tohoku journal of agricultural research, 30(4), 183-194.",,,,
351,"Flores, A. A., & Paula, J. (2002). Population dynamics of the shore crab Pachygrapsus marmoratus (Brachyura: Grapsidae) in the central Portuguese coast. Journal of the Marine Biological Association of the United Kingdom, 82(2), 229-241.",,,,
352,"Marin, J. (1987). Exploitation, biologie et dynamique du stock de langouste rouge de Corse, Palinurus elephas Fabricius (Doctoral dissertation, Université d'Aix-Marseille II).",,,,
353,"Palero, F., Abello, P., Macpherson, E., Beaumont, M., & Pascual, M. (2011). Effect of oceanographic barriers and overfishing on the population genetic structure of the European spiny lobster (Palinurus elephas). Biological Journal of the Linnean Society, 104(2), 407-418.",,,,
354,"Groeneveld, J. C., Goñi, R., & Latrouite, D. (2006). Palinurus species. Lobsters: Biology, Management, Aquaculture and Fisheries. Oxford: Blackwell Publishing Ltd, 385-411.",,,,
355,"Phillips, B. F., Joll, L. M., Sandland, R. L., & Wright, D. (1983). Longevity, reproductive condition and growth of the western rock lobster, Panulirus cygnus George, reared in aquaria. Marine and Freshwater Research, 34(3), 419-429.",,,,
356,"Lindberg, R. G. (1955). Growth, population dynamics, and field behavior in the spiny lobster, Panulirus interruptus (Randall). University of California Press.",,,,
357,"Sheehy, M., Caputi, N., Chubb, C., & Belchier, M. (1998). Use of lipofuscin for resolving cohorts of western rock lobster (Panulirus cygnus). Canadian Journal of Fisheries and Aquatic Sciences, 55(4), 925-936.",,,,
358,"Chávez-Hidalgo, A., & Chávez, E. A. (2016). The California lobster fishery and climate in the kelp bed ecosystem. Revista de Biología Marina y Oceanografía, 51(3).",,,,
359,"Phillips, B. F., Palmer, M. J., Cruz, R., & Trendall, J. T. (1992). Estimating growth of the spiny lobsters Panulirus cygnus, P. argus and P. ornatus. Marine and Freshwater Research, 43(5), 1177-1188.",,,,
360,"Kagwade, P. V. (1987). Age and growth of spiny lobster Panulirus polyphagus (Herbst) of Bombay waters. Indian Journal of Fisheries, 34(4), 389-398.",,,,
361,"Pinchukov, M. A. (2017). Estimation of Age in Females of the Red King Crab Paralithodes camtschaticus (Decapoda, Lithodidae) from the Barents Sea Based on Their Size Composition. UCHENYE ZAPISKI KAZANSKOGO UNIVERSITETA-SERIYA ESTESTVENNYE NAUKI, 159(3), 480-491.",,,,
362,"Matsuura, S., and K. Takeshita. 1990. Longevity of red king crab, Paralithodes camtschatica, revealed by long-term rearing study. In: Proceedings of the International Symposium on King and Tanner Crabs. University of Alaska Sea Grant, AK-SG-90-04, Fairbanks, pp. 181-188.",,,,
363,"Stephanie M. Parkyn , Kevin J. Collier & Brendan J. Hicks (2002) Growth and population dynamics of crayfish Paranephrops planifrons in streams within native forest and pastoral land uses, New Zealand Journal of Marine and Freshwater Research, 36:4, 847-862",,,,
364,"Coelho, P. A., Santos, M. D. C. F., & Freitas, A. E. T. S. (2004). Crescimento do aratu-da-pedra, Plagusia depressa (Fabricius, 1775)(Crustacea, Decapoda, Plagusiidae), em Tamandaré—Pernambuco. Boletim Técnico-Científico do CEPENE, 12(1), 73-79.",,,,
365,"Dineshbabu, A. P., Sreedhara, B., & Muniyappa, Y. (2007). Fishery and stock assessment of Portunus sanguinolentus (Herbst) from south Karnataka coast, India. Journal of the Marine Biological Association of India, 49(2), 134-140.",,,,
366,"Vogt, G., Huber, M., Thiemann, M., van den Boogaart, G., Schmitz, O. J., & Schubart, C. D. (2008). Production of different phenotypes from the same genotype in the same environment by developmental variation. Journal of Experimental Biology, 211(4), 510-523.",,,,
367,"Viswanathan, C., Pravinkumar, M., Suresh, T. V., Elumalai, V., & Raffi, S. M. (2016). Carapace width-weight relationship, age, growth and longevity of the mud crab Scylla olivacea (Herbst, 1796) in the Pichavaram mangroves, south-east India. Journal of the Marine Biological Association of the United Kingdom, 96(7), 1379-1386.",,,,
368,"Bonine, K. M., Bjorkstedt, E. P., Ewel, K. C., & Palik, M. (2008). Population characteristics of the mangrove crab Scylla serrata (Decapoda: Portunidae) in Kosrae, Federated States of Micronesia: effects of harvest and implications for management. Pacific Science, 62(1), 1-19.",,,,
369,"Jones, C. M. (2007). Biology and fishery of the bay lobster, Thenus spp. The Biology and Fisheries of the Slipper Lobster, 17, 325e58.",,,,
370,"Zambrano, R., Aragón-Noriega, E. A., Galindo-Cortes, G., Jiménez-Badillo, L., & Peralta, M. (2016). Individual growth estimation of Ucides occidentalis (Brachyura, Ocypodidae) in the Gulf of Guayaquil, Ecuador by indirect methods and multi-model selection. Crustaceana, 89(13), 1509-1524.",,,,
371,"Conides, A. J., Nicolaidou, A., Apostolopoulou, M., & Thessalou-Legaki, M. (2012). Growth, mortality and yield of the mudprawn Upogebia pusilla (Petagna, 1792)(Crustacea: Decapoda: Gebiidea) from western Greece. Acta Adriatica: international journal of Marine Sciences, 53(1), 87-102.",,,,
372,"Spivak, E. D., Arévalo, E., Cuesta, J. A., & González-Gordillo, J. I. (2010). Population structure and reproductive biology of the stone crab Xantho poressa (Crustacea: Decapoda: Xanthidae) in the ‘Corrales de Rota’(south-western Spain), a human-modified intertidal fishing area. Journal of the Marine Biological Association of the United Kingdom, 90(2), 323-334.",,,,
373,"Santos, A. P. F. D., Simões, S. M., Bochini, G. L., Costa, C. H., & Costa, R. C. D. (2015). Population parameters and the relationships between environmental factors and abundance of the Acetes americanus shrimp (Dendrobranchiata: Sergestidae) near a coastal upwelling region of Brazil. Brazilian journal of oceanography, 63(3), 229-238.",,,,
374,"Amin, S. M. N., Arshad, A., Siraj, S. S., Sidik, B. J., & Rahman, M. A. (2012). Population biology and stock status of planktonic shrimp Acetes indicus (Decapoda: Sergestidae) in the coastal waters of Malacca, Peninsular Malaysia. Aquatic ecosystem health & management, 15(3), 294-302.",,,,
375,"Amin, S. M. N., Arshad, A., Bujang, J. S., Siraj, S. S., & Goddard, S. (2009). Reproductive biology of the sergestid shrimp Acetes indicus (Decapoda: Sergestidae) in coastal waters of Malacca, Peninsular Malaysia. Zool. Stud, 48(6), 753-760.",,,,
376,"Saini, M., Arshad, A., Amin, S. M. N., & Idris, M. H. (2011). Growth, mortality and recruitment of planktonic shrimp, Acetes intermedius in the coastal waters of Bintulu, Sarawak East Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 780.",,,,
377,"Oh, C. W., & Jeong, I. J. (2003). Reproduction and population dynamics of Acetes chinensis (Decapoda: Sergestidae) on the western coast of Korea, Yellow Sea. Journal of Crustacean Biology, 23(4), 827-835.",,,,
378,"Ragonese, S., Vitale, S., Dimech, M., & De Santi, A. (2012). Growth discontinuity in males of the deep_water giant red shrimp Aristaeomorpha foliacea in the Mediterranean Sea. Marine ecology, 33(3), 386-392.",,,,
